COD-FAMILIAR-FAM;RENDA-MEDIA;LOCALIDADE;UNIDADE_DE_ATENDMENTO;COD-AGUA-CANALIZADA-FAM;COD-ABASTE-AGUA-DOMIC-FAM;COD-BANHEIRO-DOMIC-FAM;COD-ESCOA-SANITARIO-DOMIC-FAM;COD-DESTINO-LIXO-DOMIC-FAM;COD-ILUMINACAO-DOMIC-FAM;COD-CALCAMENTO-DOMIC-FAM
20048;120;PIRATININGA;PIRATININGA;1;1;1;3;1;1;2
20049;0;MUCUNA;MUCUNA;1;1;1;3;1;3;1
20050;0;PIRATININGA;PIRATININGA;1;1;2;;1;1;1
20051;0;COQUEIRAL;PIRATININGA;2;4;1;3;1;3;1
20052;1100;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;1
20053;435;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
20054;0;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;3;3
20055;499;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
20056;66;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;3
20057;25;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;3;3
20058;1100;HORTO;INDIGENA;1;1;1;3;1;1;1
20059;300;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
20060;954;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
20061;341;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
20062;66;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;2
20063;550;COQUEIRAL;PIRATININGA;1;1;1;1;1;1;1
20064;100;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;2
20065;748;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
20066;162;HORTO;JEREISSATI;2;2;1;3;1;3;1
20067;33;LUZARDO VIANA;MUCUNA;1;4;2;;1;6;1
20068;0;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
20069;0;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;1;1;3;1
20070;66;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
20071;0;SIQUEIRA;PARQUE SAO JOAO;1;4;1;4;1;3;3
20072;250;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
20073;100;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
20074;1212;ALTO ALEGRE I;ACARACUZINHO;1;1;1;2;1;1;1
20075;0;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
20076;0;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
20077;998;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;2;1;1;1
20078;66;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;1
20079;33;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;2;1;3
20080;8;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;2
20081;1045;SIQUEIRA;PARQUE SAO JOAO;1;1;1;2;1;1;1
20082;10;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
20083;500;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
20084;880;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;3;1;1;1
20085;11;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
20086;550;LUZARDO VIANA;MUCUNA;1;1;1;3;1;3;1
20087;0;PARQUE TIJUCA;MUCUNA;1;1;1;2;1;1;2
20088;522;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;2;1;1;2
20089;0;TIMBO;TIMBO;1;1;1;1;1;1;1
20090;0;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;3;1;1;1
20091;937;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
20092;140;TIMBO;TIMBO;1;1;1;1;1;1;1
20093;440;JACANAU;MUCUNA;1;1;1;3;1;1;3
20094;75;JACANAU;MUCUNA;2;2;1;1;1;1;1
20095;6;MUCUNA;MUCUNA;2;2;1;3;1;3;1
20096;0;ALTO ALEGRE II;ALTO ALEGRE;2;4;1;3;1;1;3
20097;70;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;2;3;1
20098;833;COQUEIRAL;PIRATININGA;1;1;1;1;1;1;1
20099;468;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;1
20100;522;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;2
20101;75;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
20102;277;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
20103;66;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
20104;387;TIMBO;TIMBO;1;1;1;1;1;1;1
20105;550;TIMBO;TIMBO;1;1;1;1;1;1;1
20106;550;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
20107;604;TIMBO;TIMBO;1;1;1;1;1;1;1
20108;100;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
20109;60;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;1
20110;60;JARI;PARQUE SAO JOAO;1;1;1;2;1;1;3
20111;12;PARQUE TIJUCA -RES AGUAS DE JACANA;ACARACUZINHO;1;1;1;1;1;1;1
20112;66;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;1
20113;60;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;2
20114;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
20115;50;PAJUCARA;PAJUCARA;1;1;1;1;1;1;3
20116;1;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
20117;100;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
20118;2;ANTONIO JUSTA;ANTONIO JUSTA;1;4;1;2;2;1;3
20119;37;JACANAU;MUCUNA;1;1;1;1;1;1;1
20120;0;CIDADE NOVA;PAJUCARA;1;2;1;3;1;1;1
20121;736;VILA BURITI;ACARACUZINHO;1;1;1;2;1;1;3
20122;50;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
20123;22;HORTO;JEREISSATI;1;1;1;3;1;1;1
20124;200;VIDA NOVA;ANTONIO JUSTA;1;1;1;3;1;1;3
20125;954;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
20126;0;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;4;1;3;1
20127;0;JACANAU;MUCUNA;;;;;;;
20128;75;JEREISSATI I;JEREISSATI;1;1;1;3;1;1;1
20129;0;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;1
20130;24;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
20131;1100;JARI;PARQUE SAO JOAO;1;1;1;2;1;1;1
20132;28;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
20133;25;MUCUNA;MUCUNA;1;1;1;3;1;1;1
20134;26;JARI;PARQUE SAO JOAO;1;2;1;2;1;1;1
20135;100;CANINDEZINHO;PARQUE SAO JOAO;1;2;1;3;1;1;1
20136;66;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;1
